"";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"astrocytoma";"astrocytoma";"astrocytoma";0,0740740740740741;0,0101845957988542;0,0294366186364991;0,152678620581473;0,125965291518142;"SETD2/TP53";2
"renal_cell_carcinoma";"renal_cell_carcinoma";"renal_cell_carcinoma";0,0740740740740741;0,0108211330362826;0,0330115936392373;0,152678620581473;0,125965291518142;"SETD2/MTOR";2
"nasopharyngeal";"nasopharyngeal";"nasopharyngeal";0,0740740740740741;0,0171865054105665;0,0767166677113743;0,214996272488953;0,177379570474527;"ATG7/TP53";2
"prostate";"prostate";"prostate";0,0740740740740741;0,0337364735837047;0,230490922256914;0,355340171812743;0,293168278309233;"SCN11A/TP53";2
"breast";"breast";"breast";0,0740740740740741;0,0509229789942712;0,403867810901813;0,482035774302164;0,397696655896522;"SETD2/TP53";2
"glioblastoma";"glioblastoma";"glioblastoma";0,0740740740740741;0,0661998726925525;0,543418013169024;0,59136666138982;0,48789852575547;"ABCB1/TP53";2
"melanoma";"melanoma";"melanoma";0,0740740740740741;0,0852959898154042;0,685678407442712;0,704725029871676;0,581423210989434;"MAP2K1/TP53";2
"adrenocortical_carcinoma ";"adrenocortical_carcinoma ";"adrenocortical_carcinoma ";0,037037037037037;0,00254614894971356;0,0670563885502982;0,214996272488953;0,177379570474527;"TP53";1
"Ewing_sarcoma";"Ewing_sarcoma";"Ewing_sarcoma";0,037037037037037;0,00254614894971356;0,0670563885502982;0,214996272488953;0,177379570474527;"TP53";1
"chondrosarcoma";"chondrosarcoma";"chondrosarcoma";0,037037037037037;0,00318268618714195;0,0831313582434334;0,214996272488953;0,177379570474527;"TP53";1
"adrenocortical_carcinoma";"adrenocortical_carcinoma";"adrenocortical_carcinoma";0,037037037037037;0,00381922342457034;0,0989394382737188;0,214996272488953;0,177379570474527;"TP53";1
"gallbladder";"gallbladder";"gallbladder";0,037037037037037;0,00381922342457034;0,0989394382737188;0,214996272488953;0,177379570474527;"TP53";1
"myeloma";"myeloma";"myeloma";0,037037037037037;0,0063653723742839;0,159587154443739;0,295236235720918;0,243580393624655;"TP53";1
"adrenocortical_adenoma";"adrenocortical_adenoma";"adrenocortical_adenoma";0,037037037037037;0,00763844684914067;0,188417460580535;0,316883910976354;0,261440495542369;"STAT3";1
"thymus";"thymus";"thymus";0,037037037037037;0,00763844684914067;0,188417460580535;0,316883910976354;0,261440495542369;"TP53";1
"myelodysplasia";"myelodysplasia";"myelodysplasia";0,037037037037037;0,00827498408656906;0,202473091474907;0,325717581937894;0,268728588227565;"TP53";1
"ovarian";"ovarian";"ovarian";0,037037037037037;0,0127307447485678;0,294501683841197;0,412454502370275;0,340289632112033;"TP53";1
"medulloblastoma";"medulloblastoma";"medulloblastoma";0,037037037037037;0,0140038192234246;0,318858477270847;0,421348702107904;0,347627663190021;"TP53";1
"cholangiocarcinoma";"cholangiocarcinoma";"cholangiocarcinoma";0,037037037037037;0,0171865054105665;0,376259858293665;0,477506251860215;0,393959638803591;"TP53";1
"soft_tissue_sarcomas";"soft_tissue_sarcomas";"soft_tissue_sarcomas";0,037037037037037;0,0178230426479949;0,387167231238012;0,477506251860215;0,393959638803591;"TP53";1
"endometrial";"endometrial";"endometrial";0,037037037037037;0,0337364735837047;0,607216030108558;0,641914088971904;0,529601951072126;"TP53";1
"glioma";"glioma";"glioma";0,037037037037037;0,0483768300445576;0,740841866606778;0,740841866606778;0,611220885678423;"TP53";1
